label_w_size	n	region_size_mb
Lymphoid Lineage (N=95)	2389	31.291716
Lymphoid Lineage (N=95)	9711	31.291716
Lymphoid Lineage (N=95)	28651	31.291716
Lymphoid Lineage (N=95)	10762	31.291716
Lymphoid Lineage (N=95)	1677	31.291716
Lymphoid Lineage (N=95)	654	31.291716
Lymphoid Lineage (N=95)	737	31.291716
Lymphoid Lineage (N=95)	1022	31.291716
Lymphoid Lineage (N=95)	1264	31.291716
Lymphoid Lineage (N=95)	763	31.291716
Lymphoid Lineage (N=95)	639	31.291716
Lymphoid Lineage (N=95)	1390	31.291716
Lymphoid Lineage (N=95)	1466	31.291716
Lymphoid Lineage (N=95)	689	31.291716
Lymphoid Lineage (N=95)	5951	31.291716
Lymphoid Lineage (N=95)	1516	31.291716
Lymphoid Lineage (N=95)	1103	31.291716
Lymphoid Lineage (N=95)	6166	31.291716
Lymphoid Lineage (N=95)	1566	31.291716
Melanocytic Lineage (N=16)	314	31.291716
Melanocytic Lineage (N=16)	1772	31.291716
Melanocytic Lineage (N=16)	846	31.291716
Melanocytic Lineage (N=16)	1105	31.291716
Melanocytic Lineage (N=16)	2517	31.291716
Melanocytic Lineage (N=16)	2441	31.291716
Melanocytic Lineage (N=16)	144	31.291716
Melanocytic Lineage (N=16)	899	31.291716
Melanocytic Lineage (N=16)	2362	31.291716
Melanocytic Lineage (N=16)	685	31.291716
